Lieu;Latitude;Longitude
Sioule – Allié;46,31217507;3,29729767
La Beaume – Ardèche;44,48010815;4,253148928
Le Lac de l’Abbaye – Jura;46,52947694;5,910707134
Le Cousin à Avallon – Yonne;47,48172739;3,9088529
Le Lac du Bourget – Savoie;45,73091226;5,860194878
Quiberon – Morbihan;47,47771462;-3,119288681
Le Gardon – Gard;43,92259485;4,348254275
Le lac de Nino – Corse du Sud;42,2558675;8,939267705
Roche-Plate, Saint Joseph – Ile de la Réunion;-21,25131414;55,61613857
Vallée de la Clarée – Hautes-Alpes;44,96689209;6,672457935
